		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
IMPA1	IPI00020906_IMPA1	2.25	5.13	0.00	0.00	2.32	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SFRS1	IPI00215884_SFRS1	0.00	0.00	0.00	0.00	2.32	0.00	2.01	0.00	0.00	2.06	0.00	3.06	0.00	0.00	0.00
DSTN	IPI00473014_DSTN	3.37	3.42	2.67	0.00	0.00	3.30	0.00	0.00	5.27	4.81	0.00	0.00	2.10	2.45	2.72
EIF3G	IPI00290460_EIF3G	0.00	3.42	0.00	0.00	0.00	0.00	0.00	0.00	3.95	3.43	0.00	0.00	0.00	5.50	3.81
NIT2	IPI00549467_NIT2	0.00	0.00	0.00	0.00	0.00	4.95	0.00	7.46	2.63	4.12	0.00	0.00	0.00	5.50	5.98
CAPG	IPI00027341_CAPG	0.00	0.00	0.00	0.00	0.00	3.30	3.01	0.00	5.27	8.24	0.00	0.00	3.15	3.67	5.44
C10ORF116	IPI00020017_C10ORF116	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	19.76	2.06	0.00	0.00	8.40	5.50	4.90
FKBP10	IPI00303300_FKBP10	0.00	0.00	0.00	5.92	18.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MT1X	IPI00008753_MT1X	3.37	2.56	0.00	0.00	5.80	0.00	3.01	2.80	2.63	2.06	0.00	0.00	3.15	3.67	0.00
HNRNPR	IPI00012074_HNRNPR	2.25	5.13	3.55	0.00	0.00	3.30	3.01	2.80	2.63	3.43	0.00	6.12	0.00	3.67	5.98
RAC1	IPI00219675_RAC1	4.49	0.00	0.00	0.00	0.00	6.60	4.02	0.00	3.95	3.43	3.09	0.00	0.00	0.00	0.00
PDXK	IPI00013004_PDXK	0.00	0.00	0.00	0.00	0.00	0.00	6.03	2.80	0.00	2.75	3.09	0.00	4.20	6.73	5.44
COPA	IPI00295857_COPA	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	5.50	4.35
USP14	IPI00219913_USP14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	11.67	0.00	0.00	0.00	2.45	3.26
AXL	IPI00296992_AXL	0.00	2.56	5.33	0.00	0.00	6.60	9.04	13.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HTRA1	IPI00003176_HTRA1	7.86	13.67	7.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EIF3I	IPI00012795_EIF3I	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	6.18	3.06	0.00	4.28	2.72
NES	IPI00010800_NES	7.86	12.82	8.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NUDC	IPI00550746_NUDC	3.37	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	0.00	3.06	0.00	3.06	3.81
DSP	IPI00013933_DSP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	3.26
NRP1	IPI00299594_NRP1	2.25	3.42	3.55	0.00	0.00	0.00	3.01	2.80	0.00	0.00	4.64	0.00	0.00	0.00	0.00
TWSG1	IPI00410487_TWSG1	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	2.63	0.00	9.28	4.59	0.00	0.00	0.00
BTF3	IPI00419473_BTF3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	3.15	3.67	4.35
RARS	IPI00004860_RARS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	2.10	4.89	4.90
MTHFD1	IPI00794900_MTHFD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	9.28	0.00	2.10	7.34	4.90
LOXL3	IPI00011385_LOXL3	2.25	2.56	3.55	8.87	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ROBO1	IPI00219798_ROBO1	2.25	13.67	8.88	5.92	3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACTR2	IPI00005159_ACTR2	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.87	0.00	0.00	0.00	6.11	4.90
TUBB8	IPI00292496_TUBB8	12.36	5.13	6.22	0.00	6.96	19.81	7.03	12.12	18.44	12.36	20.10	16.84	9.45	8.56	8.16
BPNT1	IPI00410214_BPNT1	4.49	5.13	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	3.67	3.26
TMPO	IPI00030131_TMPO	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.73	9.22	3.43	0.00	0.00	0.00	5.50	4.90
NMT1	IPI00329692_NMT1	4.49	0.00	0.00	0.00	0.00	6.60	0.00	0.00	2.63	5.49	0.00	0.00	4.20	5.50	4.35
COPE	IPI00465132_COPE	0.00	0.00	3.55	0.00	0.00	0.00	0.00	2.80	0.00	4.81	0.00	0.00	3.15	2.45	2.18
PCOLCE2	IPI00002543_PCOLCE2	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	18.37	0.00	0.00	0.00
P4HA1	IPI00218682_P4HA1	0.00	0.00	0.00	19.23	10.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HUWE1	IPI00445401_HUWE1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
SGTA	IPI00013949_SGTA	6.74	4.27	5.33	4.44	0.00	0.00	0.00	0.00	0.00	2.75	0.00	3.06	0.00	0.00	2.72
TOP2A	IPI00414101_TOP2A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00
HNRNPH3	IPI00216492_HNRNPH3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	4.64	0.00	0.00	0.00	0.00
TUBA1B	IPI00930688_TUBA1B	31.46	24.78	24.88	22.18	23.19	61.08	28.13	30.76	51.38	36.38	54.11	42.86	27.31	26.90	22.85
PITPNB	IPI00334907_PITPNB	2.25	0.00	0.00	0.00	0.00	6.60	0.00	0.00	0.00	0.00	3.09	0.00	3.15	0.00	4.35
DYNC1H1	IPI00456969_DYNC1H1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.55	0.00	0.00	0.00	0.00	0.00
THOP1	IPI00549189_THOP1	0.00	3.42	0.00	2.96	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.50	2.18
ATP1A1	IPI00006482_ATP1A1	16.85	0.00	0.00	0.00	0.00	11.55	3.01	0.00	2.63	0.00	0.00	0.00	2.10	0.00	0.00
SEPT7	IPI01015990_SEPT7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	0.00	2.72
CREG1	IPI00021997_CREG1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	2.63	0.00	9.28	3.06	5.25	0.00	2.18
KRT19	IPI00479145_KRT19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	4.81	0.00	3.06	9.45	5.50	4.35
DSG3	IPI00031547_DSG3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.55	7.34	8.16
SNRPD1	IPI00302850_SNRPD1	4.49	3.42	2.67	0.00	0.00	3.30	2.01	0.00	0.00	2.75	4.64	6.12	5.25	3.67	4.35
CARD11	IPI00869011_CARD11	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	3.09	0.00	0.00	0.00	0.00
PSMC3	IPI00018398_PSMC3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	3.09	0.00	0.00	0.00	2.72
ADSS	IPI00026833_ADSS	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	0.00	0.00	2.10	3.67	0.00
SUB1	IPI00221222_SUB1	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	6.59	3.43	0.00	0.00	0.00	0.00	0.00
DDT	IPI00293867_DDT	2.25	0.00	2.67	0.00	0.00	0.00	0.00	0.00	3.95	4.12	0.00	0.00	5.25	3.06	2.18
BLVRA	IPI00294158_BLVRA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	2.10	0.00	3.26
FREM2	IPI00180707_FREM2	5.62	8.54	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FGFBP1	IPI00021399_FGFBP1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	2.80	0.00	3.43	0.00	0.00	6.30	7.34	4.35
SERPINB7	IPI00021555_SERPINB7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.45	4.28	8.70
NIPBL	IPI00436632_NIPBL	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RHOA	IPI00478231_RHOA	4.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	0.00
PLXNB2	IPI00853369_PLXNB2	0.00	0.00	0.00	0.00	0.00	0.00	8.04	3.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
F11R	IPI00001754_F11R	2.25	2.56	0.00	0.00	0.00	3.30	7.03	2.80	0.00	0.00	0.00	0.00	8.40	2.45	2.18
CORO1C	IPI00867509_CORO1C	0.00	0.00	0.00	0.00	0.00	0.00	2.01	2.80	0.00	5.49	0.00	0.00	0.00	3.67	2.18
EWSR1	IPI00009841_EWSR1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	4.64	0.00	5.25	7.34	3.81
DPYSL2	IPI00883655_DPYSL2	3.37	4.27	3.55	0.00	0.00	0.00	0.00	0.00	3.95	2.75	0.00	0.00	3.15	0.00	2.18
PTGR1	IPI00292657_PTGR1	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	4.81	0.00	0.00	0.00	4.89	8.16
FBLN5	IPI00294615_FBLN5	3.37	6.84	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ADM	IPI00017968_ADM	2.25	0.00	2.67	0.00	2.32	0.00	0.00	0.00	0.00	0.00	6.18	4.59	5.25	0.00	0.00
SIAE	IPI00759728_SIAE	0.00	2.56	0.00	2.96	2.32	0.00	0.00	0.00	0.00	0.00	3.09	3.06	0.00	3.06	3.81
CSRP1	IPI00442073_CSRP1	6.74	2.56	3.55	0.00	0.00	0.00	0.00	0.00	2.63	4.12	0.00	0.00	3.15	0.00	2.18
QARS	IPI00925046_QARS	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	3.95	6.18	0.00	0.00	0.00	4.89	3.81
CHD7	IPI00794880_CHD7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SUMO2	IPI00299149_SUMO2	0.00	0.00	2.67	0.00	2.32	0.00	3.01	2.80	0.00	2.75	3.09	6.12	2.10	0.00	0.00
ZFHX4	IPI00941659_ZFHX4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NT5E	IPI00009456_NT5E	0.00	0.00	0.00	7.39	2.32	0.00	0.00	0.00	3.95	0.00	0.00	0.00	0.00	0.00	0.00
TARDBP	IPI00025815_TARDBP	0.00	0.00	0.00	0.00	0.00	0.00	2.01	5.59	0.00	3.43	0.00	0.00	3.15	4.28	3.26
FKBP3	IPI00024157_FKBP3	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	2.10	2.45	2.72
CHORDC1	IPI00015897_CHORDC1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	2.10	3.67	3.81
KRT18	IPI00554788_KRT18	0.00	0.00	0.00	0.00	0.00	6.60	10.01	13.05	0.00	0.00	0.00	0.00	3.15	2.45	0.00
ICAM1	IPI00008494_ICAM1	2.25	0.00	0.00	7.39	16.24	0.00	2.01	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00
PRKDC	IPI00296337_PRKDC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
DNAH10	IPI00784869_DNAH10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	0.00	0.00
MKI67	IPI00004233_MKI67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	5.50	2.18
DCTPP1	IPI00012197_DCTPP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	2.63	2.75	7.73	6.12	4.20	0.00	2.72
MAT2A	IPI00010157_MAT2A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	6.18	4.59	0.00	3.06	3.81
CRK	IPI00004838_CRK	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	6.87	0.00	3.06	0.00	2.45	2.18
EIF3J	IPI00290461_EIF3J	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	4.89	5.44
RANGAP1	IPI00294879_RANGAP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12	0.00	0.00	0.00	7.34	8.70
RPA3	IPI00017373_RPA3	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	3.09	0.00	2.10	0.00	0.00
ACOT7	IPI00219452_ACOT7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00
NAGA	IPI00414909_NAGA	0.00	0.00	0.00	4.44	5.80	0.00	4.02	0.00	0.00	0.00	0.00	0.00	3.15	0.00	2.18
ARHGDIB	IPI00003817_ARHGDIB	0.00	2.56	0.00	0.00	0.00	0.00	2.01	3.73	0.00	2.06	0.00	0.00	3.15	2.45	2.18
GPR126	IPI00217481_GPR126	0.00	4.27	6.22	2.96	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.30	0.00	2.72
ITGB4	IPI00027422_ITGB4	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	2.10	0.00	2.72
ELAVL1	IPI00301936_ELAVL1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.64	0.00	0.00	0.00	0.00
COL17A1	IPI00398272_COL17A1	0.00	0.00	0.00	0.00	0.00	0.00	5.02	6.52	0.00	0.00	0.00	0.00	4.20	4.89	3.81
PAFAH1B1	IPI00218728_PAFAH1B1	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.18	7.65	0.00	3.67	2.72
FLJ54151	IPI00910108_FLJ54151	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	5.27	0.00	0.00	0.00	7.35	4.28	4.90
RPS21	IPI00017448_RPS21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	3.09	0.00	0.00	3.06	2.72
CANX	IPI00020984_CANX	0.00	0.00	0.00	0.00	0.00	4.95	2.01	2.80	0.00	0.00	0.00	0.00	3.15	2.45	2.72
NEDD8	IPI00020008_NEDD8	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	0.00	0.00	0.00	2.45	0.00
UBA2	IPI00023234_UBA2	0.00	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	9.28	4.59	0.00	0.00	0.00
APOB	IPI00022229_APOB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KIF23	IPI00291579_KIF23	2.25	5.98	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	3.06	3.26
BOLA2	IPI00301434_BOLA2	2.25	0.00	0.00	0.00	0.00	0.00	2.01	0.00	2.63	2.06	4.64	7.65	2.10	0.00	0.00
MAPK1	IPI00003479_MAPK1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	2.45	5.44
ECHS1	IPI00024993_ECHS1	0.00	0.00	0.00	0.00	0.00	0.00	3.01	4.66	11.86	6.18	9.28	4.59	0.00	0.00	0.00
CAPN2	IPI01010797_CAPN2	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	3.15	2.45	3.26
S100A16	IPI00062120_S100A16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.75	0.00	0.00	9.45	4.89	4.90
COL7A1	IPI00025418_COL7A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.20	4.89	5.44
DDR1	IPI00985399_DDR1	0.00	0.00	0.00	0.00	0.00	4.95	4.02	0.00	0.00	0.00	0.00	0.00	10.50	3.06	3.26
UFM1	IPI00010207_UFM1	0.00	3.42	3.55	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	6.30	2.45	2.18
GNPDA1	IPI00009305_GNPDA1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.89	4.90
PRPF19	IPI00004968_PRPF19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	7.73	0.00	0.00	3.67	2.72
PLCB3	IPI00010400_PLCB3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	6.11	3.81
S100A10	IPI00183695_S100A10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	2.45	2.18
EIF3C	IPI00016910_EIF3C	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.28	2.72
MMP14	IPI00218398_MMP14	4.49	4.27	4.44	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	3.15	4.89	2.72
COPB2	IPI00789674_COPB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.43	0.00	0.00	0.00	4.89	3.81
DNASE2	IPI00010348_DNASE2	2.25	2.56	0.00	0.00	4.64	0.00	3.01	2.80	0.00	0.00	0.00	0.00	2.10	2.45	2.18
HSPA6	IPI00339269_HSPA6	15.73	10.25	18.66	10.35	10.44	16.51	10.01	14.91	18.44	11.67	35.56	33.68	19.95	12.23	13.06
TYRO3	IPI00030887_TYRO3	0.00	3.42	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GLOD4	IPI00007102_GLOD4	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.00	9.28	3.06	3.15	0.00	0.00
VBP1	IPI00334159_VBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.27	2.06	4.64	0.00	3.15	3.06	2.18
PHPT1	IPI00299977_PHPT1	0.00	0.00	3.55	0.00	0.00	0.00	0.00	2.80	2.63	2.06	6.18	4.59	2.10	0.00	2.18
PDAP1	IPI00013297_PDAP1	0.00	0.00	0.00	0.00	0.00	0.00	5.02	3.73	2.63	2.75	0.00	7.65	2.10	3.67	3.26
ITGA6	IPI00010697_ITGA6	0.00	0.00	0.00	0.00	0.00	3.30	6.03	2.80	0.00	0.00	0.00	0.00	4.20	3.67	0.00
VPS35	IPI00018931_VPS35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	3.09	0.00	0.00	6.73	4.90
LSAMP	IPI00013303_LSAMP	10.11	5.98	8.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PPM1G	IPI00006167_PPM1G	3.37	0.00	0.00	0.00	0.00	0.00	0.00	2.80	2.63	2.06	0.00	0.00	0.00	2.45	2.18
APOA1BP	IPI00168479_APOA1BP	0.00	0.00	0.00	0.00	0.00	0.00	4.02	0.00	2.63	2.06	9.28	6.12	0.00	3.06	2.72
YBX3	IPI00219147_YBX3	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	4.81	3.09	4.59	0.00	6.73	3.81
ADAM15	IPI00013302_ADAM15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	0.00	6.18	6.12	0.00	2.45	3.81
PPP2R4	IPI00893197_PPP2R4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	4.59	2.10	4.28	4.35
ARPC1B	IPI00005160_ARPC1B	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.87	0.00	0.00	2.10	0.00	2.18
MCM6	IPI00031517_MCM6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.50	5.44
EPCAM	IPI00893715_EPCAM	0.00	0.00	0.00	0.00	0.00	4.95	10.01	9.32	2.63	0.00	0.00	0.00	5.25	2.45	2.18
RRBP1	IPI00856098_RRBP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	11.67	0.00	0.00	0.00	0.00	0.00
CPXM1	IPI00304721_CPXM1	4.49	5.98	10.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PTRF	IPI00176903_PTRF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.49	0.00	0.00	0.00	5.50	7.62
RPS28	IPI00719622_RPS28	0.00	0.00	2.67	0.00	2.32	0.00	0.00	0.00	5.27	0.00	0.00	0.00	3.15	0.00	0.00
RPL10A	IPI00412579_RPL10A	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
APEH	IPI00337741_APEH	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.06	0.00	0.00	0.00	3.06	3.81
DYNLL1	IPI00019329_DYNLL1	3.37	0.00	2.67	0.00	2.32	0.00	2.01	0.00	0.00	3.43	0.00	0.00	4.20	3.67	2.72
PPIL1	IPI00007019_PPIL1	0.00	4.27	2.67	0.00	0.00	3.30	0.00	0.00	2.63	0.00	6.18	3.06	0.00	0.00	2.72
DNAJC8	IPI00003438_DNAJC8	0.00	2.56	0.00	0.00	0.00	3.30	0.00	0.00	2.63	2.06	0.00	6.12	2.10	4.28	3.81
ERH	IPI00029631_ERH	2.25	0.00	0.00	0.00	0.00	0.00	0.00	2.80	2.63	0.00	0.00	0.00	3.15	3.67	2.72
RPL22	IPI00219153_RPL22	0.00	0.00	2.67	0.00	0.00	9.90	3.01	0.00	0.00	3.43	0.00	3.06	2.10	4.28	2.72
DENR	IPI00306280_DENR	0.00	0.00	0.00	0.00	0.00	3.30	0.00	2.80	6.59	4.12	0.00	0.00	2.10	4.28	0.00
GBE1	IPI00296635_GBE1	0.00	0.00	2.67	2.96	3.48	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00	0.00	0.00
SLC38A10	IPI00443799_SLC38A10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	4.64	4.59	0.00	0.00	0.00
GLUD1	IPI00016801_GLUD1	0.00	0.00	0.00	0.00	2.32	0.00	2.01	0.00	2.63	2.75	0.00	0.00	0.00	0.00	0.00
CLTA	IPI00216393_CLTA	5.62	0.00	0.00	0.00	0.00	3.30	0.00	0.00	6.59	6.18	0.00	0.00	2.10	0.00	0.00
VPS26A	IPI00411426_VPS26A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	5.50	3.81
PGM2	IPI00550364_PGM2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	0.00	0.00	2.45	0.00
SF3B1	IPI00026089_SF3B1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	2.45	2.18
ATP6V1A	IPI00946636_ATP6V1A	2.25	3.42	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	4.28	4.90
CYP4Z1	IPI00384350_CYP4Z1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SUPT16H	IPI00026970_SUPT16H	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	3.06	0.00	2.45	2.18
PRDX4	IPI00011937_PRDX4	0.00	0.00	0.00	11.83	8.12	3.30	2.01	0.00	3.95	2.06	4.64	4.59	3.15	0.00	0.00
PFKP	IPI00009790_PFKP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.11	7.62
EIF3H	IPI00647650_EIF3H	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	4.20	2.45	0.00
TCEB1	IPI00300341_TCEB1	0.00	0.00	0.00	0.00	2.32	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	3.67	3.26
RPS2	IPI00013485_RPS2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	2.45	0.00
TCEA1	IPI00333215_TCEA1	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.90	4.12	0.00	0.00	0.00	0.00	2.18
EIF3E	IPI00013068_EIF3E	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	9.78	3.81
IL1RAP	IPI00925621_IL1RAP	0.00	3.42	0.00	0.00	8.12	0.00	4.02	6.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SECTM1	IPI00170635_SECTM1	0.00	0.00	0.00	0.00	0.00	0.00	6.03	0.00	6.59	2.75	0.00	0.00	3.15	0.00	0.00
MFAP2	IPI00022621_MFAP2	3.37	5.98	6.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LAD1	IPI00514234_LAD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	7.07
EEF1A2	IPI00014424_EEF1A2	3.37	3.42	4.44	2.96	3.48	9.90	4.02	7.46	3.95	23.34	15.46	16.84	24.16	25.68	25.57
TYRP1	IPI00015913_TYRP1	0.00	0.00	0.00	16.27	13.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ANK3	IPI00921566_ANK3	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AKAP9	IPI00019223_AKAP9	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NBL1	IPI00852703_NBL1	0.00	0.00	2.67	0.00	4.64	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NUDT21	IPI00646917_NUDT21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.67	3.81
